split,model,horizon_hours,variable,targets,brier
external_test,transformer,1,HR,30450,0.07185005493743471
external_test,transformer,1,O2Sat,30450,0.0829700076991114
external_test,transformer,1,Temp,30450,0.20609352306779383
external_test,transformer,1,SBP,30450,0.08753740760493162
external_test,transformer,1,MAP,30450,0.08847441261429309
external_test,transformer,1,DBP,30450,0.10996107074035995
external_test,transformer,1,Resp,30450,0.1443891517399567
external_test,transformer,1,BaseExcess,30450,0.0064179730049543976
external_test,transformer,1,HCO3,30450,0.013495286749354725
external_test,transformer,1,FiO2,30450,0.025930967919149228
external_test,transformer,1,pH,30450,0.024830642420376463
external_test,transformer,1,PaCO2,30450,0.024416521322624438
external_test,transformer,1,SaO2,30450,0.020221992912220543
external_test,transformer,1,BUN,30450,0.05335601542383579
external_test,transformer,1,Chloride,30450,0.017441163069655742
external_test,transformer,1,Creatinine,30450,0.05067313636856518
external_test,transformer,1,Glucose,30450,0.19185108948223698
external_test,transformer,1,Magnesium,30450,0.04862449923172373
external_test,transformer,1,Phosphate,30450,0.030531389227837373
external_test,transformer,1,Potassium,30450,0.0746537686803658
external_test,transformer,1,Hct,30450,0.06103180730088395
external_test,transformer,1,Hgb,30450,0.05949056513399522
external_test,transformer,1,WBC,30450,0.05185610633374044
external_test,transformer,1,Platelets,30450,0.05048885710525199
external_test,transformer,3,HR,30450,0.07479053620242916
external_test,transformer,3,O2Sat,30450,0.0900126958598057
external_test,transformer,3,Temp,30450,0.20396933123395947
external_test,transformer,3,SBP,30450,0.09130151411191192
external_test,transformer,3,MAP,30450,0.09350207935608862
external_test,transformer,3,DBP,30450,0.15017633409922934
external_test,transformer,3,Resp,30450,0.156610909612308
external_test,transformer,3,BaseExcess,30450,0.007270289222130243
external_test,transformer,3,HCO3,30450,0.009235576631253576
external_test,transformer,3,FiO2,30450,0.0255145093260336
external_test,transformer,3,pH,30450,0.024673097338191
external_test,transformer,3,PaCO2,30450,0.023668216267976855
external_test,transformer,3,SaO2,30450,0.0194754551385173
external_test,transformer,3,BUN,30450,0.04665060428893331
external_test,transformer,3,Chloride,30450,0.013390252445205092
external_test,transformer,3,Creatinine,30450,0.04579020462605998
external_test,transformer,3,Glucose,30450,0.19370653820351036
external_test,transformer,3,Magnesium,30450,0.04273407497735349
external_test,transformer,3,Phosphate,30450,0.026099176306173522
external_test,transformer,3,Potassium,30450,0.06734687128139442
external_test,transformer,3,Hct,30450,0.05301662379053034
external_test,transformer,3,Hgb,30450,0.051353608553094426
external_test,transformer,3,WBC,30450,0.04334892076995279
external_test,transformer,3,Platelets,30450,0.043747133565776065
external_test,transformer,6,HR,30450,0.07953975621311143
external_test,transformer,6,O2Sat,30450,0.09632189035219904
external_test,transformer,6,Temp,30450,0.21075347559009672
external_test,transformer,6,SBP,30450,0.09814033568786283
external_test,transformer,6,MAP,30450,0.09631926144089409
external_test,transformer,6,DBP,30450,0.20458225033749108
external_test,transformer,6,Resp,30450,0.16209668097237648
external_test,transformer,6,BaseExcess,30450,0.007922325977453066
external_test,transformer,6,HCO3,30450,0.007210267583284472
external_test,transformer,6,FiO2,30450,0.02455782385735676
external_test,transformer,6,pH,30450,0.023492992363490887
external_test,transformer,6,PaCO2,30450,0.022126374316198388
external_test,transformer,6,SaO2,30450,0.018026999483888202
external_test,transformer,6,BUN,30450,0.04319750114957296
external_test,transformer,6,Chloride,30450,0.011033284007915723
external_test,transformer,6,Creatinine,30450,0.04276166469470425
external_test,transformer,6,Glucose,30450,0.1873739712813805
external_test,transformer,6,Magnesium,30450,0.03961992595925903
external_test,transformer,6,Phosphate,30450,0.024713838728533197
external_test,transformer,6,Potassium,30450,0.06364226983881545
external_test,transformer,6,Hct,30450,0.04905271034914089
external_test,transformer,6,Hgb,30450,0.04719728735280154
external_test,transformer,6,WBC,30450,0.039774129670633276
external_test,transformer,6,Platelets,30450,0.04097136844701955
