split,model,horizon_hours,variable,targets,brier
external_test,grud,1,HR,30450,0.06868715716113011
external_test,grud,1,O2Sat,30450,0.07856359857643766
external_test,grud,1,Temp,30450,0.20118927548475846
external_test,grud,1,SBP,30450,0.07957121434078623
external_test,grud,1,MAP,30450,0.08499902133675435
external_test,grud,1,DBP,30450,0.1044970629720265
external_test,grud,1,Resp,30450,0.14812967081571055
external_test,grud,1,BaseExcess,30450,0.010307656220223125
external_test,grud,1,HCO3,30450,0.012460351759210009
external_test,grud,1,FiO2,30450,0.02909005598677399
external_test,grud,1,pH,30450,0.02684165587370423
external_test,grud,1,PaCO2,30450,0.025148843623245095
external_test,grud,1,SaO2,30450,0.0202253132821206
external_test,grud,1,BUN,30450,0.05312842250457538
external_test,grud,1,Chloride,30450,0.016776391231318803
external_test,grud,1,Creatinine,30450,0.0509330377790141
external_test,grud,1,Glucose,30450,0.18869049733103985
external_test,grud,1,Magnesium,30450,0.04791609021830441
external_test,grud,1,Phosphate,30450,0.030121379600369872
external_test,grud,1,Potassium,30450,0.0741172242203761
external_test,grud,1,Hct,30450,0.06018179635500477
external_test,grud,1,Hgb,30450,0.05829530745891515
external_test,grud,1,WBC,30450,0.05102913892425731
external_test,grud,1,Platelets,30450,0.05063705890538853
external_test,grud,3,HR,30450,0.07103478372977873
external_test,grud,3,O2Sat,30450,0.08371484676213883
external_test,grud,3,Temp,30450,0.2012134367452662
external_test,grud,3,SBP,30450,0.08196640550013638
external_test,grud,3,MAP,30450,0.08913193044599838
external_test,grud,3,DBP,30450,0.13558737710191698
external_test,grud,3,Resp,30450,0.15336007413018513
external_test,grud,3,BaseExcess,30450,0.009155739017552735
external_test,grud,3,HCO3,30450,0.009532047390497378
external_test,grud,3,FiO2,30450,0.028381642071875837
external_test,grud,3,pH,30450,0.02530427819010855
external_test,grud,3,PaCO2,30450,0.023833518930648154
external_test,grud,3,SaO2,30450,0.019314120015303783
external_test,grud,3,BUN,30450,0.046516270282844996
external_test,grud,3,Chloride,30450,0.013231936014320071
external_test,grud,3,Creatinine,30450,0.04573432474374184
external_test,grud,3,Glucose,30450,0.18897896039270612
external_test,grud,3,Magnesium,30450,0.042588685104754956
external_test,grud,3,Phosphate,30450,0.025973006527571157
external_test,grud,3,Potassium,30450,0.06732504189797418
external_test,grud,3,Hct,30450,0.05320205698900035
external_test,grud,3,Hgb,30450,0.05142140281342325
external_test,grud,3,WBC,30450,0.04347237294922125
external_test,grud,3,Platelets,30450,0.04374068298926103
external_test,grud,6,HR,30450,0.07812689961862486
external_test,grud,6,O2Sat,30450,0.09122499283311403
external_test,grud,6,Temp,30450,0.2099057763942161
external_test,grud,6,SBP,30450,0.08836747992019152
external_test,grud,6,MAP,30450,0.09444597915084099
external_test,grud,6,DBP,30450,0.168536112729356
external_test,grud,6,Resp,30450,0.16249220735333822
external_test,grud,6,BaseExcess,30450,0.008927442710020859
external_test,grud,6,HCO3,30450,0.007630673575234922
external_test,grud,6,FiO2,30450,0.027603683243635643
external_test,grud,6,pH,30450,0.02407603482552154
external_test,grud,6,PaCO2,30450,0.022304672720323642
external_test,grud,6,SaO2,30450,0.01800001837716901
external_test,grud,6,BUN,30450,0.04325195378711071
external_test,grud,6,Chloride,30450,0.011091156452037822
external_test,grud,6,Creatinine,30450,0.04280093675665863
external_test,grud,6,Glucose,30450,0.18476403241087064
external_test,grud,6,Magnesium,30450,0.0397320089532041
external_test,grud,6,Phosphate,30450,0.024628958587820698
external_test,grud,6,Potassium,30450,0.06380049488618847
external_test,grud,6,Hct,30450,0.04933805252041527
external_test,grud,6,Hgb,30450,0.04732385216283876
external_test,grud,6,WBC,30450,0.040012687880711016
external_test,grud,6,Platelets,30450,0.040911709676528796
external_test,grud,12,HR,30450,0.07677223235319793
external_test,grud,12,O2Sat,30450,0.09216543584230107
external_test,grud,12,Temp,30450,0.21473459019841035
external_test,grud,12,SBP,30450,0.08943942010500552
external_test,grud,12,MAP,30450,0.0939969112602948
external_test,grud,12,DBP,30450,0.1929158890247345
external_test,grud,12,Resp,30450,0.1562028830842236
external_test,grud,12,BaseExcess,30450,0.007731210453487774
external_test,grud,12,HCO3,30450,0.00666943888371116
external_test,grud,12,FiO2,30450,0.026562665863870988
external_test,grud,12,pH,30450,0.021870617913984508
external_test,grud,12,PaCO2,30450,0.01965725467575497
external_test,grud,12,SaO2,30450,0.01559245031889779
external_test,grud,12,BUN,30450,0.04720757454633713
external_test,grud,12,Chloride,30450,0.009507572918836707
external_test,grud,12,Creatinine,30450,0.04685547593259214
external_test,grud,12,Glucose,30450,0.18079702235795006
external_test,grud,12,Magnesium,30450,0.04449675467948021
